"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Vue", "Markdown", "HTML", "YAML", "XML", "CSS", "comment", "blank", "total"
"d:\Programming\Web\ticket-system-frontend\src\components\Tickets\MakeTicket.vue", "Vue", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 18, 17, 276
"d:\Programming\Web\ticket-system-frontend\src\components\Tickets\ShowTickets.vue", "Vue", 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 5, 39, 362
"d:\Programming\Web\ticket-system-frontend\src\components\Tickets\TicketCard.vue", "Vue", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 7, 58
"d:\Programming\Web\ticket-system-frontend\src\components\Tickets\TicketPage.vue", "Vue", 0, 0, 0, 0, 984, 0, 0, 0, 0, 0, 72, 90, 1146
"d:\Programming\Web\ticket-system-frontend\src\components\Tickets\Tickets.vue", "Vue", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 2, 19, 141
"d:\Programming\Web\ticket-system-frontend\src\components\Tickets\messageCard.vue", "Vue", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 11, 30, 180
"d:\Programming\Web\ticket-system-frontend\src\components\__tests__\HelloWorld.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Programming\Web\ticket-system-frontend\src\main.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21
"d:\Programming\Web\ticket-system-frontend\src\router\index.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 11, 5, 89
"d:\Programming\Web\ticket-system-frontend\src\stores\counter.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Programming\Web\ticket-system-frontend\src\views\Dashboard.vue", "Vue", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 4, 18, 223
"d:\Programming\Web\ticket-system-frontend\src\views\ForgetPassword.vue", "Vue", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 11, 32
"d:\Programming\Web\ticket-system-frontend\src\views\Help.vue", "Vue", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"d:\Programming\Web\ticket-system-frontend\src\views\Landing.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 4, 11, 74
"d:\Programming\Web\ticket-system-frontend\src\views\Login.vue", "Vue", 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 6, 38, 259
"d:\Programming\Web\ticket-system-frontend\src\views\Referral.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 7, 97
"d:\Programming\Web\ticket-system-frontend\src\views\Signup.vue", "Vue", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 9, 34, 202
"d:\Programming\Web\ticket-system-frontend\tailwind.config.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32
"d:\Programming\Web\ticket-system-frontend\tsconfig.app.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 13
"d:\Programming\Web\ticket-system-frontend\tsconfig.json", "JSON with Comments", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Programming\Web\ticket-system-frontend\tsconfig.node.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Programming\Web\ticket-system-frontend\tsconfig.vitest.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Programming\Web\ticket-system-frontend\vite.config.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 36
"d:\Programming\Web\ticket-system-frontend\vitest.config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 16
"d:\Programming\Web\ticket-system-frontend\vue.config.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"Total", "-", 102, 119, 24, 355, 5784, 44, 47, 10, 13, 76, 371, 647, 7592
